ingredient_symnonym_id,word,code,ingredient_id
1817,dl-주석산수소칼륨 / DL-중주석산칼륨,D0120800000000,6440
1818,d-주석산수소칼륨 / L-중주석산칼륨,D0120900000000,6441
1819,차아염소산소오다,D0121200000000,6444
1820,초산나트륨 결정물(3수염),D0121700009000,6451
1821,섬유소글리콜산나트륨,D0122900000000,6463
1822,섬유소글리콜산칼슘,D0123000000000,6464
1823,소오다회,D0123500005000,6470
1824,탄산소오다 / 탄산나트륨 결정물(1수염),D0123500010000,6471
1825,탄산소오다 / 탄산나트륨 결정물(10수염),D0123500035000,6472
1826,중탄산나트륨,D0123700000000,6474
1827,중탄산암모늄,D0123800000000,6475
1828,폴리이소부텐,D0126400000000,6502
1829,피로인산사나트륨,D0127700000000,6515
1830,피로인산나트륨 결정물(10수염),D0127700009000,6517
1831,황산나트륨 결정물(10수염),D0128500009000,6527
1832,황산마그네슘 건조물(3수염),D0128700004000,6530
1833,황산마그네슘 결정물(7수염),D0128700009000,6531
1834,소암모늄명반,D0128900004000,6534
1835,암모늄명반 / 황산알루미늄암모늄 결정물(12수염),D0128900009000,6535
1836,소명반,D0129000004000,6537
1837,명반 / 황산알루미늄칼륨 결정물(12수염),D0129000009000,6538
1838,황산제일철 건조물(1~1.5수염),D0129200004000,6541
1839,황산제일철 결정물(7수염),D0129200009000,6542
1840,젖산나트륨액,D0130600000000,6556
1841,글루콘산액,D0130900000000,6559
1842,글리세로인산칼륨 결정물(3수염),D0131700013000,6570
1843,글리세로인산칼륨용액(50～75% 농도),D0131700001000,6571
1844,제삼인산마그네슘 무수물,D0133700005000,6594
1845,제삼인산마그네슘(결정-4수염),D0133700014000,6595
1846,제삼인산마그네슘(결정-5수염,D0133700015000,6596
1847,제삼인산마그네슘(결정-8수염),D0133700016000,6597
1848,5'-시티딜산나트륨,D0135000000000,6610
1849,5'-우리딜산나트륨,D0135100000000,6611
1850,젖산칼륨액,D0136100000000,6621
1851,메타규산나트륨(무수),D0138400005000,6647
1852,메타규산나트륨(함수-5수염),D0138400015000,6648
1853,글루콘산마그네슘 무수물,D0138700005000,6652
1854,글루콘산마그네슘 2수물,D0138700031000,6653
1855,글루콘산마그네슘 무수물과 2수물 혼합물,D0138700032000,6654
1856,Ammonium Salts of Phosphatidic Acid,D0140600000000,6676
1857,PEG,D0140700000000,6677
1858,감초조제물,D0200300023000,6684
1859,감초정제물,D0200300024000,6685
1860,건조품,D0200800004000,6695
1861,소성품,D0200800033000,6696
1862,융제소성품,D0200800034000,6697
1863,아밀로글루코시다아제,D0201000000000,6699
1864,β-갈락토시다아제,D0201500000000,6704
1865,분말섬유소,D0202700000000,6718
1866,스피룰리나청색소,D0203600000000,6729
1867,울금색소,D0203800000000,6737
1868,조제종국,D0205000023000,6752
1869,분말종국,D0205000002000,6753
1870,생효모,D0209200030000,6807
1871,액상효모,D0209200001000,6808
1872,건조효모(활성),D0209200025000,6809
1873,건조효모(비활성),D0209200026000,6810
1874,참깨유추출물,D0215300000000,7184
1875,G3생성효소,D0218100000000,7212
1876,고형면류첨가알칼리제,D0300300003000,7235
1877,액상면류첨가알칼리제,D0300300001000,7236
1878,희석분말면류첨가알칼리제,D0300300027000,7237
1879,polyoxymethylene,F0100001000000,7551
1880,칼리플라워,Z0201100000000,7755
1881,컬리플라워,Z0201100000000,7755
1882,모려,Z3203700000000,8971
1883,아교,Z3204600000000,8980
